Order ID,Amount,Profit,Quantity,Category,Sub-Category,Order Date,CustomerName,City
B-26776,9726,1275,5,Electronics,Electronic Games,27/06/2023,David Padilla,Miami
B-26776,9726,1275,5,Electronics,Electronic Games,27/12/2024,Connor Morgan,Chicago
B-26776,9726,1275,5,Electronics,Electronic Games,25/07/2021,Robert Stone,Buffalo
B-26776,4975,1330,14,Electronics,Printers,27/06/2023,David Padilla,Miami
B-26776,4975,1330,14,Electronics,Printers,27/12/2024,Connor Morgan,Chicago
B-26776,4975,1330,14,Electronics,Printers,25/07/2021,Robert Stone,Buffalo
B-26942,1525,185,12,Office Supplies,Pens,11/05/2024,John Fields,Orlando
B-26942,1525,185,12,Office Supplies,Pens,09/10/2021,Clayton Smith,Miami
B-26640,883,117,10,Electronics,Laptops,18/11/2022,Richard Kelley,Los Angeles
B-26640,8127,3551,16,Furniture,Tables,18/11/2022,Richard Kelley,Los Angeles
B-25890,2516,734,19,Furniture,Chairs,12/11/2023,Jacqueline Hubbard,New York City
B-25102,2975,462,14,Office Supplies,Pens,23/03/2020,Jessica Anderson,New York City
B-25426,6851,2812,1,Office Supplies,Markers,04/05/2020,Mary Taylor,Orlando
B-25426,7626,1046,15,Furniture,Sofas,04/05/2020,Mary Taylor,Orlando
B-25426,1023,78,9,Furniture,Tables,04/05/2020,Mary Taylor,Orlando
B-25238,7600,1098,10,Office Supplies,Pens,09/11/2023,Walter Crawford,Springfield
B-25238,7501,262,18,Office Supplies,Paper,09/11/2023,Walter Crawford,Springfield
B-25051,725,133,6,Office Supplies,Paper,30/12/2024,Lawrence Robinson,Rochester
B-25051,7201,2685,2,Furniture,Tables,30/12/2024,Lawrence Robinson,Rochester
B-26510,1629,265,1,Office Supplies,Paper,11/02/2025,Douglas Pennington,Dallas
B-26510,1629,265,1,Office Supplies,Paper,23/01/2024,Ricardo Andrews,San Diego
B-25104,8971,2971,19,Office Supplies,Binders,28/11/2020,Paul Raymond,San Diego
B-25104,2939,894,20,Office Supplies,Binders,28/11/2020,Paul Raymond,San Diego
B-25553,9380,414,11,Electronics,Phones,30/05/2024,Karen Johnson,Rochester
B-25553,8558,1644,18,Office Supplies,Binders,30/05/2024,Karen Johnson,Rochester
B-25553,4080,72,17,Office Supplies,Paper,30/05/2024,Karen Johnson,Rochester
B-26703,4206,1821,17,Electronics,Electronic Games,23/01/2022,Juan Erickson,Austin
B-26232,5219,1180,20,Office Supplies,Binders,17/12/2021,Alexander Reed,New York City
B-26232,5219,1180,20,Office Supplies,Binders,03/02/2023,Jacqueline Harris,San Francisco
B-25394,3686,760,20,Office Supplies,Pens,30/10/2022,Tyler Park,San Francisco
B-25394,3686,760,20,Office Supplies,Pens,15/01/2022,Richard Wolfe,Columbus
B-26157,6045,1606,4,Office Supplies,Paper,14/12/2023,Sierra Rios,Orlando
B-26157,9337,554,11,Office Supplies,Pens,14/12/2023,Sierra Rios,Orlando
B-25555,4051,1848,12,Electronics,Phones,03/07/2023,Jessica Richardson,San Diego
B-25555,4051,1848,12,Electronics,Phones,08/05/2021,Kimberly Warren,Cincinnati
B-25555,5011,866,11,Furniture,Bookcases,03/07/2023,Jessica Richardson,San Diego
B-25555,5011,866,11,Furniture,Bookcases,08/05/2021,Kimberly Warren,Cincinnati
B-26139,3958,630,15,Furniture,Sofas,07/10/2022,Casey Garcia,Orlando
B-26139,3132,963,1,Furniture,Tables,07/10/2022,Casey Garcia,Orlando
B-25032,7784,2937,12,Office Supplies,Markers,06/08/2024,Denise Hampton,San Francisco
B-25032,5591,1696,3,Office Supplies,Pens,06/08/2024,Denise Hampton,San Francisco
B-25032,5122,2413,12,Electronics,Electronic Games,06/08/2024,Denise Hampton,San Francisco
B-25730,8293,2632,8,Office Supplies,Binders,05/01/2022,Justin Rodriguez,Cleveland
B-25730,8293,2632,8,Office Supplies,Binders,17/10/2020,Ms. Emily Baxter,Rochester
B-25730,8293,2632,8,Office Supplies,Binders,21/08/2023,Austin White,Los Angeles
B-25730,2863,205,17,Electronics,Phones,05/01/2022,Justin Rodriguez,Cleveland
B-25730,2863,205,17,Electronics,Phones,17/10/2020,Ms. Emily Baxter,Rochester
B-25730,2863,205,17,Electronics,Phones,21/08/2023,Austin White,Los Angeles
B-26470,3090,573,6,Furniture,Tables,27/12/2024,Morgan Montes,San Diego
B-26470,3090,573,6,Furniture,Tables,18/06/2021,Christine Mosley,Cincinnati
B-26470,3090,573,6,Furniture,Tables,27/05/2023,Ashley Rodriguez,Austin
B-26470,3090,573,6,Furniture,Tables,12/10/2021,Elizabeth King,Dallas
B-26470,9683,1014,5,Electronics,Printers,27/12/2024,Morgan Montes,San Diego
B-26470,9683,1014,5,Electronics,Printers,18/06/2021,Christine Mosley,Cincinnati
B-26470,9683,1014,5,Electronics,Printers,27/05/2023,Ashley Rodriguez,Austin
B-26470,9683,1014,5,Electronics,Printers,12/10/2021,Elizabeth King,Dallas
B-25988,2463,648,18,Furniture,Tables,19/09/2022,Connie Holmes,Cincinnati
B-25568,7811,1538,12,Furniture,Sofas,25/03/2022,Melissa Peck,Miami
B-26730,6139,451,10,Furniture,Tables,26/02/2022,David Smith,Orlando
B-26730,6139,451,10,Furniture,Tables,05/04/2021,Jacqueline Harris,Houston
B-26730,8636,3192,3,Furniture,Chairs,26/02/2022,David Smith,Orlando
B-26730,8636,3192,3,Furniture,Chairs,05/04/2021,Jacqueline Harris,Houston
B-26730,4439,1712,19,Furniture,Sofas,26/02/2022,David Smith,Orlando
B-26730,4439,1712,19,Furniture,Sofas,05/04/2021,Jacqueline Harris,Houston
B-25372,1016,172,20,Furniture,Tables,16/11/2020,Heather Jenkins,Buffalo
B-25372,5768,2059,14,Furniture,Tables,16/11/2020,Heather Jenkins,Buffalo
B-25372,1217,151,3,Furniture,Tables,16/11/2020,Heather Jenkins,Buffalo
B-26026,953,93,2,Office Supplies,Paper,12/12/2024,Kelsey Castaneda,Cleveland
B-26026,953,93,2,Office Supplies,Paper,06/04/2023,Katherine Harris,Los Angeles
B-26026,7355,1034,3,Furniture,Sofas,12/12/2024,Kelsey Castaneda,Cleveland
B-26026,7355,1034,3,Furniture,Sofas,06/04/2023,Katherine Harris,Los Angeles
B-26026,1843,248,3,Electronics,Phones,12/12/2024,Kelsey Castaneda,Cleveland
B-26026,1843,248,3,Electronics,Phones,06/04/2023,Katherine Harris,Los Angeles
B-26026,1603,361,10,Office Supplies,Pens,12/12/2024,Kelsey Castaneda,Cleveland
B-26026,1603,361,10,Office Supplies,Pens,06/04/2023,Katherine Harris,Los Angeles
B-25295,2025,528,1,Office Supplies,Pens,28/01/2024,Paul Rogers,Miami
B-25295,6800,167,16,Office Supplies,Binders,28/01/2024,Paul Rogers,Miami
B-26121,1126,55,1,Furniture,Bookcases,16/01/2022,Jon Banks,Tampa
B-26121,1126,55,1,Furniture,Bookcases,16/12/2022,Michelle Williams,Buffalo
B-25560,7533,3508,12,Furniture,Tables,13/07/2023,Andrew Allen,San Diego
B-25560,4734,1178,16,Office Supplies,Binders,13/07/2023,Andrew Allen,San Diego
B-25560,4074,1175,6,Electronics,Electronic Games,13/07/2023,Andrew Allen,San Diego
B-25560,2334,484,3,Furniture,Sofas,13/07/2023,Andrew Allen,San Diego
B-26076,2750,1239,11,Electronics,Phones,10/03/2025,Vanessa Bauer,Buffalo
B-26076,2750,1239,11,Electronics,Phones,24/09/2024,Sean Smith,Cleveland
B-26076,8639,3104,19,Office Supplies,Pens,10/03/2025,Vanessa Bauer,Buffalo
B-26076,8639,3104,19,Office Supplies,Pens,24/09/2024,Sean Smith,Cleveland
B-25872,3808,1192,4,Office Supplies,Markers,13/04/2020,Shelly Sweeney,New York City
B-25872,2588,705,16,Office Supplies,Pens,13/04/2020,Shelly Sweeney,New York City
B-26185,1591,727,5,Electronics,Electronic Games,27/06/2022,Emily Gill,Springfield
B-26185,1591,727,5,Electronics,Electronic Games,14/03/2021,Brian Patrick,Tampa
B-26185,1591,727,5,Electronics,Electronic Games,23/02/2022,Dr. Sarah Booth,Cincinnati
B-26259,1757,622,10,Furniture,Chairs,29/03/2022,Douglas Mcfarland,Cleveland
B-26259,1757,622,10,Furniture,Chairs,20/11/2022,Kayla Ross,Peoria
B-25142,6940,253,15,Furniture,Bookcases,12/11/2021,Marc Strickland,Orlando
B-25142,5105,465,5,Electronics,Printers,12/11/2021,Marc Strickland,Orlando
B-25326,5578,277,16,Furniture,Tables,17/08/2021,Charlene Brown,Miami
B-25326,5578,277,16,Furniture,Tables,16/05/2022,Charles Smith,Columbus
B-26795,5224,1958,16,Furniture,Chairs,16/07/2023,Karen Townsend,Houston
B-26795,5002,1801,11,Office Supplies,Markers,16/07/2023,Karen Townsend,Houston
B-26795,7380,1673,18,Office Supplies,Markers,16/07/2023,Karen Townsend,Houston
B-25660,7595,2873,4,Furniture,Chairs,18/08/2020,Steven Cox,Los Angeles
B-25660,7595,2873,4,Furniture,Chairs,19/04/2022,Cynthia Rodriguez,Rochester
B-25410,1954,294,7,Furniture,Sofas,23/12/2022,Jessica Baker,Austin
B-25690,523,95,20,Electronics,Printers,07/12/2024,Mark Blackburn,Dallas
B-26464,5704,714,13,Electronics,Laptops,03/02/2022,Zachary Perez,Austin
B-26464,5704,714,13,Electronics,Laptops,12/12/2021,Brian Green,San Diego
B-26464,8797,1010,8,Furniture,Tables,03/02/2022,Zachary Perez,Austin
B-26464,8797,1010,8,Furniture,Tables,12/12/2021,Brian Green,San Diego
B-26464,9236,2899,5,Electronics,Laptops,03/02/2022,Zachary Perez,Austin
B-26464,9236,2899,5,Electronics,Laptops,12/12/2021,Brian Green,San Diego
B-26454,9109,586,17,Furniture,Sofas,17/05/2020,Becky Leach,Miami
B-26742,4358,526,19,Electronics,Phones,05/12/2022,Bryan Russell,Dallas
B-26742,4358,526,19,Electronics,Phones,17/09/2024,Tony Maddox,San Francisco
B-26742,6459,825,8,Electronics,Phones,05/12/2022,Bryan Russell,Dallas
B-26742,6459,825,8,Electronics,Phones,17/09/2024,Tony Maddox,San Francisco
B-25510,2478,92,12,Furniture,Bookcases,08/05/2023,Jason Randolph,San Francisco
B-25510,2478,92,12,Furniture,Bookcases,03/03/2021,Laura Andrews,New York City
B-25510,2478,92,12,Furniture,Bookcases,18/03/2021,Mrs. Stephanie Hooper,San Francisco
B-25510,2478,92,12,Furniture,Bookcases,24/04/2023,Anthony Evans,Cleveland
B-25936,9992,3696,20,Office Supplies,Pens,09/10/2021,Patrick Williams,Rochester
B-25936,9992,3696,20,Office Supplies,Pens,15/04/2022,Susan Burke,Austin
