Order ID,Order Date,Customer Name,Segment,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,11/08/2016,Claire Gute,Consumer,Henderson,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,11/08/2016,Claire Gute,Consumer,Henderson,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
CA-2016-138688,06/12/2016,Darrin Van Huff,Corporate,Los Angeles,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,10/11/2015,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,10/11/2015,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2014-115812,06/09/2014,Brosina Hoffman,Consumer,Los Angeles,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,4/15/2017,Andrew Allen,Consumer,Concord,North Carolina,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,12/05/2016,Irene Maddox,Consumer,Seattle,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
US-2015-118983,11/22/2015,Harold Pawlan,Home Office,Fort Worth,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,11/22/2015,Harold Pawlan,Home Office,Fort Worth,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2014-105893,11/11/2014,Pete Kriz,Consumer,Madison,Wisconsin,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,5/13/2014,Alejandro Grove,Consumer,West Jordan,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2014-143336,8/27/2014,Zuschuss Donatelli,Consumer,San Francisco,California,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
CA-2014-143336,8/27/2014,Zuschuss Donatelli,Consumer,San Francisco,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,8/27/2014,Zuschuss Donatelli,Consumer,San Francisco,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,12/09/2016,Ken Black,Corporate,Fremont,Nebraska,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
CA-2016-137330,12/09/2016,Ken Black,Corporate,Fremont,Nebraska,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,7/16/2017,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,9/25/2015,Emily Burns,Consumer,Orem,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2016-121755,1/16/2016,Eric Hoffmann,Consumer,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-2016-121755,1/16/2016,Eric Hoffmann,Consumer,Los Angeles,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,9/17/2015,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
CA-2017-107727,10/19/2017,Matt Abelman,Home Office,Houston,Texas,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
CA-2016-117590,12/08/2016,Gene Hale,Corporate,Richardson,Texas,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
CA-2016-117590,12/08/2016,Gene Hale,Corporate,Richardson,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2015-117415,12/27/2015,Steve Nguyen,Home Office,Houston,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
CA-2015-117415,12/27/2015,Steve Nguyen,Home Office,Houston,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
CA-2015-117415,12/27/2015,Steve Nguyen,Home Office,Houston,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
CA-2015-117415,12/27/2015,Steve Nguyen,Home Office,Houston,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
